"","ppid_trialn","heading","StartFrame","StartYawRateChange","FirstSteeringTime","pNum","ResponseStartWorldYaw","EarlyResponses","PeakFrame","PeakYawRateChange","PeakSteeringTime","PeakWorldYaw","PeakWorld_x","PeakWorld_z"
"120","10_2_22",0.5,35,0.0581701572960373,0.566700000000012,10,9.657818,FALSE,127,0.146689964102564,2.09990000000001,10.17054,95.75678,840.6573
"121","10_2_24",1.5,33,0.0534382491841492,0.533600000000007,10,9.503143,FALSE,38,0.149627024568765,0.616900000000001,9.53815,105.5878,902.5444
"122","10_2_25",1.5,32,0.0760372889277389,0.5167,10,9.516075,FALSE,40,0.237086224941725,0.649999999999991,9.395891,112.2979,939.3975
"123","10_2_26",1.5,24,0.066247096969697,0.383600000000001,10,8.043119,FALSE,139,0.359300689044289,2.30010000000001,8.748793,119.6661,989.3812
"124","10_2_28",1.5,31,0.0726923117715618,0.500100000000003,10,8.563465,FALSE,39,0.180139865967366,0.633299999999991,8.459758,129.0351,1049.855
"125","10_2_29",2,26,0.0549067905594405,0.416699999999992,10,5.666941,FALSE,38,0.249731943123543,0.61669999999998,5.436505,133.1953,1086.684
"126","10_2_3",1,37,0.0753846032634033,0.60005,10,5.314319,FALSE,43,0.188298371794872,0.70016,5.379727,4.721694,127.0179
"127","10_2_30",2,28,0.0589860020979021,0.450099999999992,10,3.897603,FALSE,35,0.272086252913753,0.566800000000001,3.808956,135.6126,1123.401
"128","10_2_31",2,24,0.0527855629370629,0.383299999999991,10,2.253352,FALSE,31,0.231946382284382,0.5,2.177603,136.769,1160.042
"129","10_2_33",0.5,34,0.0522960397435897,0.54910000000001,10,0.004945423,FALSE,40,0.155174813519814,0.649200000000008,0.05286608,137.3131,1235.628
"130","10_2_34",2,30,0.0743240156177156,0.483200000000011,10,0.2295688,FALSE,39,0.197272716783217,0.633200000000016,0.1182918,137.6952,1272.823
"131","10_2_36",1,30,0.059393906993007,0.483499999999992,10,357.5282,FALSE,36,0.173205162004662,0.583400000000012,357.5825,134.5196,1346.881
"132","10_2_38",1.5,26,0.0608624680652681,0.416699999999992,10,356.923,FALSE,112,0.200372982051282,1.84989999999999,358.955,131.0604,1431.465
"133","10_2_39",1,36,0.0624125911421911,0.583499999999987,10,359.1314,FALSE,100,0.149382323543124,1.65000000000001,0.6630376,130.6894,1467.061
"134","10_2_4",1.5,27,0.089498813986014,0.43327,10,5.883954,FALSE,32,0.197762242843823,0.516629999999999,5.935881,8.506201,162.6797
"135","10_2_40",1,47,0.0611071997668998,0.766800000000018,10,359.9784,FALSE,55,0.166678351748252,0.900300000000016,359.8866,130.8211,1498.393
"136","10_2_42",1.5,28,0.0551515210955711,0.450099999999992,10,358.4376,FALSE,37,0.18103731025641,0.599999999999994,358.3298,128.8118,1570.625
"137","10_2_43",1,39,0.0541725089743589,0.633399999999995,10,357.101,FALSE,136,0.21424242960373,2.25,357.9186,126.2568,1620.953
"138","10_2_45",2,23,0.0525407946386946,0.366700000000009,10,357.2892,FALSE,31,0.181934720512821,0.499899999999997,357.3806,123.9302,1681.436
"139","10_2_46",0.5,73,0.0716317018881119,1.20009999999999,10,358.4739,FALSE,76,0.137960371118881,1.25020000000001,358.4593,123.216,1724.757
"140","10_2_47",1,31,0.0509907016783217,0.500200000000007,10,357.9372,FALSE,37,0.159172470862471,0.600099999999998,357.9885,121.9272,1756.729
"141","10_2_48",2,30,0.0667365897435897,0.483499999999992,10,359.305,FALSE,35,0.149953396969697,0.566800000000001,359.3639,121.4633,1793.789
"142","10_2_49",2,31,0.0668997660839161,0.500099999999975,10,1.673297,FALSE,39,0.197925424242424,0.633399999999995,1.566576,122.4767,1831.504
"143","10_2_5",2,21,0.0588228304662004,0.33343,10,7.006935,FALSE,27,0.138531472027972,0.43337,7.060018,13.14082,199.0485
"144","10_2_50",0.5,40,0.0631468424242424,0.650000000000006,10,359.475,FALSE,44,0.146853150839161,0.716700000000003,359.5013,122.0906,1869.498
"145","10_2_51",1.5,31,0.0729370525641025,0.5,10,359.139,FALSE,39,0.150606068531468,0.633299999999991,359.0458,121.8799,1906.16
"146","10_2_52",2,31,0.0581701889277389,0.5,10,357.7402,FALSE,40,0.209918382517483,0.650200000000012,357.617,120.4202,1943.597
"147","10_2_53",2,51,0.114382284382284,0.833499999999987,10,355.4131,FALSE,57,0.598426581585082,0.933400000000006,355.1636,117.34,1983.07
"148","10_2_55",1.5,27,0.0568647644522144,0.433399999999949,10,358.9583,FALSE,37,0.165046625407925,0.600199999999973,358.831,115.712,2055.038
"149","10_2_56",1.5,30,0.0724475717948718,0.483399999999961,10,356.9306,FALSE,39,0.224277389277389,0.633399999999995,356.8017,113.7342,2092.581
"150","10_2_58",1,33,0.0650232798368298,0.533299999999997,10,355.5203,FALSE,45,0.140979031235431,0.733299999999986,355.3524,107.6208,2167.791
"151","10_2_6",1.5,26,0.0757109476689976,0.416690000000003,10,8.417521,FALSE,32,0.204289045687646,0.516670000000005,8.485732,18.93714,236.5981
"152","10_2_60",2,29,0.0553962719114219,0.466499999999996,10,353.5616,FALSE,45,0.207226107226107,0.733200000000011,353.2321,99.51462,2242.009
"153","10_2_61",2,29,0.070897443006993,0.466500000000053,10,351.7649,FALSE,41,0.256666666666667,0.666800000000023,351.5014,94.11939,2278.275
"154","10_2_62",1.5,28,0.0759557039627039,0.449999999999989,10,350.2895,FALSE,33,0.197435891608392,0.533400000000029,350.3519,87.6787,2313.959
"155","10_2_64",2,32,0.0757925304195804,0.516700000000014,10,351.1103,FALSE,44,0.26458041958042,0.716700000000003,350.8424,76.06884,2389.196
"156","10_2_65",1.5,33,0.0685314486013986,0.533500000000004,10,350.18,FALSE,44,0.320710955710956,0.716800000000035,349.9251,69.40768,2425.925
"157","10_2_67",1,28,0.0677971928904429,0.449999999999989,10,348.5795,FALSE,34,0.182913778554779,0.550000000000011,348.639,54.9043,2497.803
"158","10_2_72",1,45,0.0530303101398601,0.733399999999961,10,349.4711,FALSE,53,0.174836827272727,0.86669999999998,349.3837,19.57071,2683.116
"159","10_2_74",1.5,30,0.0664102553613053,0.483299999999986,10,348.0454,FALSE,36,0.154195818414918,0.583300000000008,348.0996,4.955468,2753.749
"160","10_2_75",2,26,0.0757109857808858,0.416700000000048,10,348.4535,FALSE,30,0.191643333333333,0.483300000000042,348.4856,-1.872671,2789.632
"161","10_2_77",1,32,0.0536829607226107,0.516599999999983,10,348.956,FALSE,42,0.155093210722611,0.683299999999974,348.8371,-15.90964,2864.312
"162","10_2_78",1,30,0.0630652518648018,0.483399999999961,10,347.5724,FALSE,38,0.261317004428904,0.616899999999987,347.4562,-23.77592,2900.123
