"","ppid_trialn","pNum","heading","FirstSteeringTime","response","response_num"
"313","11_1_55","11","0.5","2.5","nosteer","1"
"314","11_1_56","11","2","2.5","nosteer","1"
"315","11_1_63","11","0","2.5","nosteer","1"
"316","11_1_65","11","0","2.5","nosteer","1"
"317","11_1_73","11","0","2.5","nosteer","1"
"318","11_1_79","11","0.5","2.5","nosteer","1"
"319","11_1_80","11","1","2.5","nosteer","1"
"320","11_1_81","11","1","2.5","nosteer","1"
"321","11_1_83","11","0","2.5","nosteer","1"
"322","11_1_85","11","0.5","2.5","nosteer","1"
"323","11_1_88","11","0.5","2.5","nosteer","1"
"324","11_1_89","11","0","2.5","nosteer","1"
"325","11_2_1","11","0.5","2.5","nosteer","1"
"326","11_2_10","11","0.5","2.5","nosteer","1"
"327","11_2_11","11","0.5","2.5","nosteer","1"
"328","11_2_12","11","1","2.5","nosteer","1"
"329","11_2_18","11","1.5","2.5","nosteer","1"
"330","11_2_20","11","1","2.5","nosteer","1"
"331","11_2_24","11","2","2.5","nosteer","1"
"332","11_2_25","11","0","2.5","nosteer","1"
"333","11_2_26","11","0.5","2.5","nosteer","1"
"334","11_2_27","11","1","2.5","nosteer","1"
"335","11_2_28","11","0.5","2.5","nosteer","1"
"336","11_2_29","11","1.5","2.5","nosteer","1"
"337","11_2_31","11","0.5","2.5","nosteer","1"
"338","11_2_32","11","1.5","2.5","nosteer","1"
"339","11_2_35","11","0","2.5","nosteer","1"
"340","11_2_37","11","0.5","2.5","nosteer","1"
"341","11_2_39","11","0.5","2.5","nosteer","1"
"342","11_2_4","11","0","2.5","nosteer","1"
"343","11_2_43","11","1","2.5","nosteer","1"
"344","11_2_44","11","1","2.5","nosteer","1"
"345","11_2_47","11","0","2.5","nosteer","1"
"346","11_2_48","11","0","2.5","nosteer","1"
"347","11_2_53","11","0","2.5","nosteer","1"
"348","11_2_55","11","0","2.5","nosteer","1"
"349","11_2_57","11","0","2.5","nosteer","1"
"350","11_2_58","11","0.5","2.5","nosteer","1"
"351","11_2_74","11","0","2.5","nosteer","1"
"352","11_2_80","11","0.5","2.5","nosteer","1"
"353","11_2_81","11","1","2.5","nosteer","1"
"354","11_2_82","11","0","2.5","nosteer","1"
"355","11_2_84","11","0.5","2.5","nosteer","1"
"356","11_2_85","11","0.5","2.5","nosteer","1"
"357","11_2_88","11","0.5","2.5","nosteer","1"
"358","11_3_12","11","0","2.5","nosteer","1"
"359","11_3_16","11","0","2.5","nosteer","1"
"360","11_3_19","11","0","2.5","nosteer","1"
"361","11_3_2","11","0","2.5","nosteer","1"
"362","11_3_20","11","0","2.5","nosteer","1"
"363","11_3_21","11","0.5","2.5","nosteer","1"
"364","11_3_23","11","0.5","2.5","nosteer","1"
"365","11_3_26","11","0.5","2.5","nosteer","1"
"366","11_3_42","11","0.5","2.5","nosteer","1"
"367","11_3_43","11","0.5","2.5","nosteer","1"
"368","11_3_46","11","0.5","2.5","nosteer","1"
"369","11_3_51","11","0.5","2.5","nosteer","1"
"370","11_3_57","11","0","2.5","nosteer","1"
"371","11_3_62","11","0","2.5","nosteer","1"
"372","11_3_73","11","0","2.5","nosteer","1"
"373","11_3_77","11","1","2.5","nosteer","1"
"374","11_3_78","11","0.5","2.5","nosteer","1"
"375","11_3_8","11","0","2.5","nosteer","1"
"376","11_3_80","11","0.5","2.5","nosteer","1"
"377","11_3_81","11","0","2.5","nosteer","1"
"378","11_3_9","11","0.5","2.5","nosteer","1"
"379","12_1_1","12","2","2.5","nosteer","1"
"380","12_1_12","12","0","2.5","nosteer","1"
"381","12_1_14","12","0","2.5","nosteer","1"
"382","12_1_16","12","0","2.5","nosteer","1"
"383","12_1_19","12","0.5","2.5","nosteer","1"
"384","12_1_23","12","0.5","2.5","nosteer","1"
"385","12_1_25","12","0.5","2.5","nosteer","1"
"386","12_1_27","12","0","2.5","nosteer","1"
"387","12_1_3","12","0","2.5","nosteer","1"
"388","12_1_30","12","1","2.5","nosteer","1"
"389","12_1_35","12","0.5","2.5","nosteer","1"
"390","12_1_36","12","1","2.5","nosteer","1"
"391","12_1_38","12","0.5","2.5","nosteer","1"
"392","12_1_41","12","0","2.5","nosteer","1"
"393","12_1_42","12","1.5","2.5","nosteer","1"
"394","12_1_43","12","1","2.5","nosteer","1"
"395","12_1_44","12","0","2.5","nosteer","1"
"396","12_1_50","12","0.5","2.5","nosteer","1"
"397","12_1_55","12","0","2.5","nosteer","1"
"398","12_1_62","12","0.5","2.5","nosteer","1"
"399","12_1_63","12","0.5","2.5","nosteer","1"
"400","12_1_68","12","0.5","2.5","nosteer","1"
"401","12_1_75","12","1","2.5","nosteer","1"
"402","12_1_77","12","0","2.5","nosteer","1"
"403","12_1_78","12","0.5","2.5","nosteer","1"
"404","12_1_80","12","0.5","2.5","nosteer","1"
"405","12_1_81","12","0.5","2.5","nosteer","1"
"406","12_2_1","12","0.5","2.5","nosteer","1"
"407","12_2_17","12","1","2.5","nosteer","1"
"408","12_2_20","12","0.5","2.5","nosteer","1"
"409","12_2_21","12","0.5","2.5","nosteer","1"
"410","12_2_22","12","1","2.5","nosteer","1"
"411","12_2_26","12","0","2.5","nosteer","1"
"412","12_2_27","12","0","2.5","nosteer","1"
"413","12_2_3","12","0.5","2.5","nosteer","1"
"414","12_2_37","12","0","2.5","nosteer","1"
"415","12_2_41","12","0.5","2.5","nosteer","1"
"416","12_2_47","12","1","2.5","nosteer","1"
"417","12_2_48","12","0.5","2.5","nosteer","1"
"418","12_2_58","12","0","2.5","nosteer","1"
"419","12_2_60","12","0","2.5","nosteer","1"
"420","12_2_62","12","0.5","2.5","nosteer","1"
"421","12_2_64","12","1","2.5","nosteer","1"
"422","12_2_66","12","0","2.5","nosteer","1"
"423","12_2_68","12","0","2.5","nosteer","1"
"424","12_2_72","12","1.5","2.5","nosteer","1"
"425","12_2_74","12","0.5","2.5","nosteer","1"
"426","12_2_78","12","0","2.5","nosteer","1"
"427","12_2_83","12","0","2.5","nosteer","1"
"428","12_2_87","12","0","2.5","nosteer","1"
"429","12_3_11","12","0.5","2.5","nosteer","1"
"430","12_3_34","12","0","2.5","nosteer","1"
"431","12_3_36","12","0","2.5","nosteer","1"
"432","12_3_40","12","0.5","2.5","nosteer","1"
"433","12_3_45","12","0","2.5","nosteer","1"
"434","12_3_48","12","0","2.5","nosteer","1"
"435","12_3_59","12","0","2.5","nosteer","1"
"436","12_3_62","12","0.5","2.5","nosteer","1"
"437","12_3_64","12","0.5","2.5","nosteer","1"
"438","12_3_66","12","0.5","2.5","nosteer","1"
"439","12_3_67","12","0","2.5","nosteer","1"
"440","12_3_69","12","0","2.5","nosteer","1"
"441","12_3_70","12","0","2.5","nosteer","1"
"442","12_3_74","12","0","2.5","nosteer","1"
"443","12_3_81","12","0","2.5","nosteer","1"
"444","12_3_85","12","0.5","2.5","nosteer","1"
"445","13_1_0","13","0.5","2.5","nosteer","1"
"446","13_1_15","13","0","2.5","nosteer","1"
"447","13_1_17","13","0.5","2.5","nosteer","1"
"448","13_1_18","13","1","2.5","nosteer","1"
"449","13_1_19","13","1","2.5","nosteer","1"
"450","13_1_25","13","1.5","2.5","nosteer","1"
"451","13_1_3","13","0.5","2.5","nosteer","1"
"452","13_1_31","13","1","2.5","nosteer","1"
"453","13_1_33","13","0.5","2.5","nosteer","1"
"454","13_1_34","13","1","2.5","nosteer","1"
"455","13_1_42","13","0.5","2.5","nosteer","1"
"456","13_1_43","13","0","2.5","nosteer","1"
"457","13_1_49","13","0","2.5","nosteer","1"
"458","13_1_55","13","1","2.5","nosteer","1"
"459","13_1_63","13","0.5","2.5","nosteer","1"
"460","13_1_7","13","0.5","2.5","nosteer","1"
"461","13_1_71","13","0.5","2.5","nosteer","1"
"462","13_1_72","13","0","2.5","nosteer","1"
"463","13_1_84","13","0","2.5","nosteer","1"
"464","13_1_85","13","0.5","2.5","nosteer","1"
"465","13_1_86","13","1","2.5","nosteer","1"
"466","13_1_87","13","1.5","2.5","nosteer","1"
"467","13_1_88","13","0","2.5","nosteer","1"
"468","13_1_89","13","0","2.5","nosteer","1"
"469","13_1_9","13","0.5","2.5","nosteer","1"
"470","13_2_0","13","0.5","2.5","nosteer","1"
"471","13_2_10","13","0","2.5","nosteer","1"
"472","13_2_13","13","1","2.5","nosteer","1"
"473","13_2_15","13","1.5","2.5","nosteer","1"
"474","13_2_17","13","1","2.5","nosteer","1"
"475","13_2_18","13","2","2.5","nosteer","1"
"476","13_2_21","13","1","2.5","nosteer","1"
"477","13_2_24","13","0.5","2.5","nosteer","1"
"478","13_2_25","13","0.5","2.5","nosteer","1"
"479","13_2_27","13","2","2.5","nosteer","1"
"480","13_2_29","13","1","2.5","nosteer","1"
"481","13_2_31","13","0","2.5","nosteer","1"
"482","13_2_34","13","0.5","2.5","nosteer","1"
"483","13_2_35","13","0.5","2.5","nosteer","1"
"484","13_2_37","13","0","2.5","nosteer","1"
"485","13_2_38","13","0.5","2.5","nosteer","1"
"486","13_2_39","13","1","2.5","nosteer","1"
"487","13_2_4","13","0.5","2.5","nosteer","1"
"488","13_2_43","13","0","2.5","nosteer","1"
"489","13_2_47","13","0","2.5","nosteer","1"
"490","13_2_48","13","0.5","2.5","nosteer","1"
"491","13_2_55","13","0","2.5","nosteer","1"
"492","13_2_56","13","0.5","2.5","nosteer","1"
"493","13_2_57","13","0.5","2.5","nosteer","1"
"494","13_2_58","13","0.5","2.5","nosteer","1"
"495","13_2_6","13","2","2.5","nosteer","1"
"496","13_2_61","13","0.5","2.5","nosteer","1"
"497","13_2_66","13","0","2.5","nosteer","1"
"498","13_2_67","13","1","2.5","nosteer","1"
"499","13_2_68","13","0","2.5","nosteer","1"
"500","13_2_69","13","0.5","2.5","nosteer","1"
"501","13_2_7","13","0","2.5","nosteer","1"
"502","13_2_71","13","0.5","2.5","nosteer","1"
